"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.0","","","","1"
"2021","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.1","","","","1"
"2022","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","0.9","","","","1"
"2023","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.3","","","","1"
"2024","New Brunswick","2021A000213","Part-time employment","Manufacturing [31-33]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365487","5.4.10.1.1","1.0","","","","1"
"2001","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","12.1","","","","1"
"2002","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","13.1","","","","1"
"2003","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","13.2","","","","1"
"2004","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","14.1","","","","1"
"2005","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","13.8","","","","1"
"2006","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","15.1","","","","1"
"2007","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","13.8","","","","1"
"2008","New Brunswick","2021A000213","Part-time employment","Trade [41, 44-45]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365504","5.4.14.1.1","15.1","","","","1"
