"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1544371026","4.1.1.17","","x","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","638.27","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","656.41","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","684.87","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","694.78","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","702.09","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","745.51","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","786.09","","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","835.85","","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","839.73","A","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","874.98","A","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","895.75","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","915.43","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","900.81","A","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","928.54","A","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","956.78","A","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","978.35","A","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","1007.25","A","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","1026.35","A","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","1061.37","A","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","1111.91","B","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","1160.00","B","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","1229.52","B","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","1291.34","B","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Construction [23]","Current dollars","75","units","0","v1741179","4.1.1.21","1317.29","B","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","694.40","","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","730.80","","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","738.44","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","751.51","","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","803.92","","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","808.34","","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Manufacturing [31-33]","Current dollars","75","units","0","v1741187","4.1.1.34","833.51","","","","2"
