"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","29.2","","","","1"
"2002","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","29.7","","","","1"
"2003","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","31.9","","","","1"
"2004","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","31.3","","","","1"
"2005","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","31.4","","","","1"
"2006","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","27.9","","","","1"
"2007","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","26.3","","","","1"
"2008","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","27.2","","","","1"
"2009","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","31.5","","","","1"
"2010","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","29.7","","","","1"
"2011","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","26.2","","","","1"
"2012","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","30.1","","","","1"
"2013","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","30.3","","","","1"
"2014","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","25.8","","","","1"
"2015","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","23.6","","","","1"
"2016","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","25.1","","","","1"
"2017","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","27.0","","","","1"
"2018","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","26.2","","","","1"
"2019","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","27.9","","","","1"
"2020","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","25.0","","","","1"
"2021","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","29.1","","","","1"
"2022","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","28.1","","","","1"
"2023","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","25.3","","","","1"
"2024","Ontario","2021A000235","Part-time employment","Finance and insurance [52]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366514","7.4.19.1.1","25.1","","","","1"
"2001","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","21.8","","","","1"
"2002","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","22.4","","","","1"
"2003","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","24.2","","","","1"
"2004","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","21.6","","","","1"
"2005","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","22.3","","","","1"
"2006","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","24.1","","","","1"
"2007","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","25.9","","","","1"
"2008","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","23.5","","","","1"
"2009","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","26.6","","","","1"
"2010","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","26.5","","","","1"
"2011","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","32.1","","","","1"
"2012","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","23.1","","","","1"
"2013","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","26.4","","","","1"
"2014","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","27.9","","","","1"
"2015","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","26.9","","","","1"
"2016","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","24.0","","","","1"
"2017","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","32.8","","","","1"
"2018","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","29.3","","","","1"
"2019","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","31.2","","","","1"
"2020","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","25.4","","","","1"
"2021","Ontario","2021A000235","Part-time employment","Real estate and rental and leasing [53]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366515","7.4.20.1.1","29.8","","","","1"
